"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","b1.hom","b1.iso","range.hom","range.iso","iso"
"AMA","0C0044","Rollinia amazonica","Annonaceae",0.580148637239165,4.17,50.5,32.6,"","AMA-0C0044",0.027511697003586,0.0349943827428457,2.10000755684066,3.46725046273835,0.988312537947245
"AMA","0U0478","Guatteria puncticulata","Annonaceae",0.54,1.65,52,25,"","AMA-0U0478",0.0517967762249369,0.0517967762249369,3.33524469899015,3.33524469899015,0.983029591511028
"AMA","0H0243","Rollinia amazonica","Annonaceae",0.580148637239165,2.8,60.3,32.7,"","AMA-0H0243",0.0336158852918842,0.0336158852918842,3.3343716396,3.3343716396,0.980990303387267
"AMA","0Y0074","Aspidosperma excelsum","Apocynaceae",0.563472333887043,2.5,42.8,25.8,"","AMA-0Y0074",0.0826616298458375,0.118473527011358,1.83224226322496,2.0529940027911,0.828173400731146
"AMA","0D0203","Licania micrantha","Chrysobalanaceae",0.836,1.53,49.1,35,"","AMA-0D0203",0.0829920683511352,0.0649427623764442,2.90576292592885,3.54597007814446,0.968736292521145
"AMA","0K0217","Mahurea exstipulata","Clusiaceae",0.628382972012917,3.4,94.9,26.8,"","AMA-0K0217",0.0353169816036321,0.0353169816036321,3.33567323189024,3.33567323189024,0.883383096039641
"AMA","0N0014","Sloanea floribunda","Elaeocarpaceae",0.624723,4.22,77.2,33.03,"","AMA-0N0014",0.0152638445570747,0.0152638445570747,2.68843180866078,2.68843180866078,0.961188529602901
"AMA","0C0178","Sloanea guianensis","Elaeocarpaceae",0.8212,7.17,62.2,35.6,"","AMA-0C0178",0.025818977430103,0.00935222918414113,2.09886774804348,2.45044194716779,0.922261228413846
"AMA","0O0573","Sapium sp.1","Euphorbiaceae",0.458469198435973,3.37,31,29.43,"","AMA-0O0573",0.0168177264794955,0.0286367385688205,2.79499741265217,3.55035158924124,0.982529081122974
"AMA","0O0175","Campsiandra comosa","Fabaceae",0.691390843283582,3.11,36.828,24.03,"","AMA-0O0175",0.0242480291462056,0.0511277499032017,1.2900110220339,3.32506573947368,0.970649916370733
"AMA","0H0547","Cedrelinga cateniformis","Fabaceae",0.5038,1.96,81.424,36.63,"","AMA-0H0547",0.0400449800477489,0.0400449800477489,2.4749606799812,2.4749606799812,0.94313158144544
"AMA","0W0280","Dicorynia paraensis","Fabaceae",0.691390843283582,3.2,39.8,31.83,"","AMA-0W0280",0.0398362587874279,0.0398362587874279,2.47231800071237,2.47231800071237,0.966239841649109
"AMA","0M0104","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.37,71.4,30.43,"","AMA-0M0104",-0.0171752576019573,0.000450595740333722,2.36494936235354,3.33323649501611,0.938578624957937
"AMA","0R0070","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.55,34.409,26.43,"","AMA-0R0070",0.00378010134946862,0.0307027048614944,1.93499565036652,3.12113441705882,0.986318667950621
"AMA","0U0057","Tachigali sp.3","Fabaceae-caesalpinioideae",0.653866477958237,4.5,68,33.83,"","AMA-0U0057",0.0203479806549117,0.0256761879772751,1.93497764826667,2.57999939297297,0.949758659787843
"AMA","0U0536","Abarema jupunba","Fabaceae-mimosoideae",0.585143,1.8,69.5,35.4,"","AMA-0U0536",0.0529070630147047,0.0529070630147047,2.25809768501761,2.25809768501761,0.9538498144727
"AMA","0V0330","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.208,89.3,37.2,"","AMA-0V0330",0.0114150996421877,0.0114150996421877,3.33282513277968,3.33282513277968,0.976592516023989
"AMA","0X0089","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.36,88.1,34.6,"","AMA-0X0089",0.00265867740775902,0.00265867740775902,3.33439537886861,3.33439537886861,0.988096478445285
"AMA","0G0380","Parkia multijuga","Fabaceae-mimosoideae",0.399,2.71,77,35.23,"","AMA-0G0380",0.0064203165392394,0.0064203165392394,2.04422272722705,2.04422272722705,0.95540805970872
"AMA","0N0353","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.63,76.4,32.43,"","AMA-0N0353",0.0222639160881638,0.0229285402850682,3.33426484370927,3.54857948900383,0.981281175235411
"AMA","0R0454","Dipteryx magnifica","Fabaceae-papilionoideae",0.678611364167478,4.28,65.9,34.23,"","AMA-0R0454",0.0052688032053505,0.0052688032053505,2.79504995587662,2.79504995587662,0.979337953928409
"AMA","0R0201","Swartzia oraria","Fabaceae-papilionoideae",0.678611364167478,4.35,40.2,24.83,"","AMA-0R0201",0.032402869507244,0.0496516114241225,1.28993332921053,3.54855880225256,0.827844974173617
"AMA","0O0391","Vitex orinocensis","Lamiaceae",0.526667,3.89,66.2,25.43,"","AMA-0O0391",0.0312514573395157,0.0567583458472131,2.04348199130325,3.55301262370739,0.910688260514926
"AMA","0B0279","Eschweilera coriacea","Lecythidaceae",0.852083,4.62,29.7,23,"","AMA-0B0279",-0.009430932917978,0.054532950040286,1.88999166613267,3.46815823690344,0.95902981964303
"AMA","0D0527","Eschweilera coriacea","Lecythidaceae",0.852083,1.97,34.4,24.43,"","AMA-0D0527",0.0500894612743657,0.0460323459509963,1.8333060305258,2.26001981753253,0.965196235561424
"AMA","0T0248","Eschweilera coriacea","Lecythidaceae",0.852083,3.05,31.8,27.23,"","AMA-0T0248",0.0333838809176157,0.0486081577314701,2.69452068167112,3.3339246134399,0.976466048296243
"AMA","0G0189","Eschweilera coriacea","Lecythidaceae",0.852083,3.65,38.5,25.6,"","AMA-0G0189",0.0189007393113281,0.00855081906068506,1.07503541603625,1.5050072503576,0.9744781008522
