"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","AIC1","AIC2","AIC3","AIC4","AIC5","range.iso","b1.hom","b1.iso","range.hom","iso"
"AMA","0C0044","Rollinia amazonica","Annonaceae",0.580148637239165,4.17,50.5,32.6,"","AMA-0C0044",TRUE,TRUE,TRUE,FALSE,FALSE,3.46725046273835,0.027511697003586,0.0349943827428457,2.10000755684066,0.988312537947245
"AMA","0Q0429","Guatteria puncticulata","Annonaceae",0.54,2.43,59.2,33.6,"","AMA-0Q0429",FALSE,FALSE,FALSE,FALSE,TRUE,0.8585735407041,0.0479368071046597,0.0638935095694847,0.645559768645276,0.982996819992049
"AMA","0U0478","Guatteria puncticulata","Annonaceae",0.54,1.65,52,25,"","AMA-0U0478",TRUE,FALSE,TRUE,FALSE,FALSE,3.33524469899015,0.0517967762249369,0.0517967762249369,3.33524469899015,0.983029591511028
"AMA","0H0243","Rollinia amazonica","Annonaceae",0.580148637239165,2.8,60.3,32.7,"","AMA-0H0243",TRUE,FALSE,TRUE,FALSE,FALSE,3.3343716396,0.0336158852918842,0.0336158852918842,3.3343716396,0.980990303387267
"AMA","0Y0074","Aspidosperma excelsum","Apocynaceae",0.563472333887043,2.5,42.8,25.8,"","AMA-0Y0074",TRUE,FALSE,TRUE,FALSE,FALSE,2.0529940027911,0.0826616298458375,0.118473527011358,1.83224226322496,0.828173400731146
"AMA","0N0280","Tetragastris panamensis","Burseraceae",0.717333,4.34,60.5,28.4,"","AMA-0N0280",TRUE,FALSE,TRUE,FALSE,FALSE,0.430001152935484,-0.0313131553857817,-0.0313131553857817,0.430001152935484,0.957441735196499
"AMA","0K0395","Dendrobangia multinervia","Cardiopteridaceae",0.635333,2.08,41.1,30.43,"with 0K0394","AMA-0K0395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMA","0D0203","Licania micrantha","Chrysobalanaceae",0.836,1.53,49.1,35,"","AMA-0D0203",TRUE,FALSE,TRUE,FALSE,FALSE,3.54597007814446,0.0829920683511352,0.0649427623764442,2.90576292592885,0.968736292521145
"AMA","0D0136","Licania longistyla","Chrysobalanaceae",0.809515,5.67,66.5,34.4,"","AMA-0D0136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMA","0K0217","Mahurea exstipulata","Clusiaceae",0.628382972012917,3.4,94.9,26.8,"","AMA-0K0217",TRUE,FALSE,TRUE,FALSE,FALSE,3.33567323189024,0.0353169816036321,0.0353169816036321,3.33567323189024,0.883383096039641
"AMA","0N0014","Sloanea floribunda","Elaeocarpaceae",0.624723,4.22,77.2,33.03,"","AMA-0N0014",TRUE,FALSE,TRUE,FALSE,FALSE,2.68843180866078,0.0152638445570747,0.0152638445570747,2.68843180866078,0.961188529602901
"AMA","0I0106","Sloanea sp.2","Elaeocarpaceae",0.586179827715356,1.82,23,19.03,"","AMA-0I0106",TRUE,FALSE,TRUE,FALSE,FALSE,1.07493864437949,0.00651559521670773,0.00651559521670773,1.07493864437949,0.97271991266583
"AMA","0C0178","Sloanea guianensis","Elaeocarpaceae",0.8212,7.17,62.2,35.6,"","AMA-0C0178",TRUE,FALSE,TRUE,FALSE,FALSE,2.45044194716779,0.025818977430103,0.00935222918414113,2.09886774804348,0.922261228413846
"AMA","0H0016","Sloanea guianensis","Elaeocarpaceae",0.8212,6.34,75.8,34.6,"","AMA-0H0016",TRUE,FALSE,FALSE,FALSE,FALSE,0.215058616190476,-0.0179915464744207,-0.0179915464744207,0.215058616190476,0.946994444955438
"AMA","0O0573","Sapium sp.1","Euphorbiaceae",0.458469198435973,3.37,31,29.43,"","AMA-0O0573",TRUE,FALSE,TRUE,FALSE,FALSE,3.55035158924124,0.0168177264794955,0.0286367385688205,2.79499741265217,0.982529081122974
"AMA","0O0175","Campsiandra comosa","Fabaceae",0.691390843283582,3.11,36.828,24.03,"","AMA-0O0175",TRUE,FALSE,TRUE,TRUE,FALSE,3.32506573947368,0.0242480291462056,0.0511277499032017,1.2900110220339,0.970649916370733
"AMA","0R0237","Vataireopsis iglesiasii","Fabaceae",0.691390843283582,4.05,85,39.83,"","AMA-0R0237",FALSE,FALSE,FALSE,FALSE,TRUE,1.07495153036583,0.0356056628783683,0.0356056628783683,1.07495153036583,0.979872512917766
"AMA","0H0547","Cedrelinga cateniformis","Fabaceae",0.5038,1.96,81.424,36.63,"","AMA-0H0547",TRUE,FALSE,TRUE,FALSE,FALSE,2.4749606799812,0.0400449800477489,0.0400449800477489,2.4749606799812,0.94313158144544
"AMA","0W0280","Dicorynia paraensis","Fabaceae",0.691390843283582,3.2,39.8,31.83,"","AMA-0W0280",TRUE,TRUE,TRUE,FALSE,FALSE,2.47231800071237,0.0398362587874279,0.0398362587874279,2.47231800071237,0.966239841649109
"AMA","0T0188","Crudia glaberrima","Fabaceae-caesalpinioideae",0.653866477958237,4.52,79.5,28.43,"","AMA-0T0188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMA","0M0104","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.37,71.4,30.43,"","AMA-0M0104",TRUE,FALSE,TRUE,FALSE,FALSE,3.33323649501611,-0.0171752576019573,0.000450595740333722,2.36494936235354,0.938578624957937
"AMA","0R0070","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.55,34.409,26.43,"","AMA-0R0070",TRUE,FALSE,TRUE,FALSE,FALSE,3.12113441705882,0.00378010134946862,0.0307027048614944,1.93499565036652,0.986318667950621
"AMA","0U0057","Tachigali sp.3","Fabaceae-caesalpinioideae",0.653866477958237,4.5,68,33.83,"","AMA-0U0057",TRUE,FALSE,TRUE,FALSE,FALSE,2.57999939297297,0.0203479806549117,0.0256761879772751,1.93497764826667,0.949758659787843
"AMA","0U0536","Abarema jupunba","Fabaceae-mimosoideae",0.585143,1.8,69.5,35.4,"","AMA-0U0536",TRUE,FALSE,TRUE,FALSE,FALSE,2.25809768501761,0.0529070630147047,0.0529070630147047,2.25809768501761,0.9538498144727
