"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes"
"AMA","0C0044","Rollinia amazonica","Annonaceae",0.580148637239165,4.17,505,32.6,""
"AMA","0Q0429","Guatteria puncticulata","Annonaceae",0.54,2.43,592,33.6,""
"AMA","0U0478","Guatteria puncticulata","Annonaceae",0.54,1.65,520,25,""
"AMA","0H0243","Rollinia amazonica","Annonaceae",0.580148637239165,2.8,603,32.7,""
"AMA","0Y0074","Aspidosperma excelsum","Apocynaceae",0.563472333887043,2.5,428,25.8,""
"AMA","0N0280","Tetragastris panamensis","Burseraceae",0.717333,4.34,605,28.4,""
"AMA","0K0395","Dendrobangia multinervia","Cardiopteridaceae",0.635333,2.08,411,30.43,"with 0K0394"
"AMA","0D0203","Licania micrantha","Chrysobalanaceae",0.836,1.53,491,35,""
"AMA","0D0136","Licania longistyla","Chrysobalanaceae",0.809515,5.67,665,34.4,""
"AMA","0K0217","Mahurea exstipulata","Clusiaceae",0.628382972012917,3.4,949,26.8,""
"AMA","0N0014","Sloanea floribunda","Elaeocarpaceae",0.624723,4.22,772,33.03,""
"AMA","0I0106","Sloanea sp.2","Elaeocarpaceae",0.586179827715356,1.82,230,19.03,""
"AMA","0C0178","Sloanea guianensis","Elaeocarpaceae",0.8212,7.17,622,35.6,""
"AMA","0H0016","Sloanea guianensis","Elaeocarpaceae",0.8212,6.34,758,34.6,""
"AMA","0O0573","Sapium sp.1","Euphorbiaceae",0.458469198435973,3.37,310,29.43,""
"AMA","0O0175","Campsiandra comosa","Fabaceae",0.691390843283582,3.11,368.28,24.03,""
"AMA","0R0237","Vataireopsis iglesiasii","Fabaceae",0.691390843283582,4.05,850,39.83,""
"AMA","0H0547","Cedrelinga cateniformis","Fabaceae",0.5038,1.96,814.24,36.63,""
"AMA","0W0280","Dicorynia paraensis","Fabaceae",0.691390843283582,3.2,398,31.83,""
"AMA","0T0188","Crudia glaberrima","Fabaceae-caesalpinioideae",0.653866477958237,4.52,795,28.43,""
"AMA","0M0104","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.37,714,30.43,""
"AMA","0R0070","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.55,344.09,26.43,""
"AMA","0U0057","Tachigali sp.3","Fabaceae-caesalpinioideae",0.653866477958237,4.5,680,33.83,""
"AMA","0U0536","Abarema jupunba","Fabaceae-mimosoideae",0.585143,1.8,695,35.4,""
"AMA","0V0330","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.208,893,37.2,""
"AMA","0X0089","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.36,881,34.6,""
"AMA","0G0380","Parkia multijuga","Fabaceae-mimosoideae",0.399,2.71,770,35.23,""
"AMA","0N0353","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.63,764,32.43,""
"AMA","0R0454","Dipteryx magnifica","Fabaceae-papilionoideae",0.678611364167478,4.28,659,34.23,""
"AMA","0R0201","Swartzia oraria","Fabaceae-papilionoideae",0.678611364167478,4.35,402,24.83,""
"AMA","0E0541","Vitex orinocensis","Lamiaceae",0.526667,6.48,825,27.03,""
"AMA","0O0391","Vitex orinocensis","Lamiaceae",0.526667,3.89,662,25.43,""
"AMA","0B0279","Eschweilera coriacea","Lecythidaceae",0.852083,4.62,297,23,""
"AMA","0D0527","Eschweilera coriacea","Lecythidaceae",0.852083,1.97,344,24.43,""
"AMA","0T0248","Eschweilera coriacea","Lecythidaceae",0.852083,3.05,318,27.23,""
"AMA","0G0189","Eschweilera coriacea","Lecythidaceae",0.852083,3.65,385,25.6,""
"AMA","0H0400","Eschweilera coriacea","Lecythidaceae",0.852083,3.75,644,33.83,"with 0H0401"
"AMA","0Q0190","Eschweilera coriacea","Lecythidaceae",0.852083,3.57,286,19.43,""
"AMA","0C0258","Eschweilera coriacea","Lecythidaceae",0.852083,4.95,431,24.63,""
"AMA","0M0030","Eschweilera itayensis","Lecythidaceae",0.828119,4.1,614.34,32.23,""
"AMA","0L0502","Eschweilera coriacea","Lecythidaceae",0.852083,3.54,575,21.6,""
"AMA","0A0212","Eschweilera coriacea","Lecythidaceae",0.852083,5.26,431,28.23,""
"AMA","0S0264","Eschweilera coriacea","Lecythidaceae",0.852083,4,480,26.83,""
"AMA","0U0359","Eschweilera coriacea","Lecythidaceae",0.852083,3.6,309,19.03,""
