"Description","Df","AIC","R2marginal","R2conditional","dAIC"
"Log(b1) = -0.437 + -0.664*log(DAB) -0.587*log(HOM) -0.552*log(WSG) + Site",1,601.810627166674,0.215822909161637,0.234039190568972,0
"Log(b1) = -0.769 + -0.546*log(DAB) -0.63*log(HOM) -0.436*log(WSG) + Site + Family",1,602.527949567836,0.188401483693218,0.237639917944097,0.717322401161709
"Log(b1) = -0.825 + -0.458*log(DAB) -0.663*log(HOM) + Site + Family",0,604.721821165688,0.16716073921417,0.24087224837257,2.91119399901322
"Log(b1) = -0.309 + -0.615*log(DAB) -0.607*log(HOM) + Site",1,609.447072688284,0.194443551934389,0.224894739340142,7.63644552160974
"Log(b1) = -2.534 + -0.807*log(HOM) + Site + Family",0,612.612039538542,0.123987753942148,0.213219870562316,10.8014123718673
"Log(b1) = -2.655 + -0.804*log(HOM) -0.201*log(WSG) + Site + Family",0,613.765051582754,0.127377527158713,0.212326034226743,11.9544244160795
"Log(b1) = -0.494 + -0.802*log(DAB) -0.578*log(WSG) + Site",0,617.439643058515,0.161730551287329,0.184662080763151,15.6290158918403
"Log(b1) = -0.621 + -0.759*log(DAB) -0.528*log(WSG) + Site + Family",0,619.429067823672,0.145934412996514,0.186682233487905,17.6184406569976
"Log(b1) = -0.687 + -0.663*log(DAB) + Site + Family",0,623.579198474595,0.111910718841868,0.192834401984216,21.7685713079204
"Log(b1) = -0.348 + -0.758*log(DAB) + Site",1,625.186591994798,0.141330864166737,0.178404752047478,23.3759648281239
"Log(b1) = -2.921 + -0.754*log(HOM) -0.379*log(WSG) + Site",0,626.930585654653,0.12159141000692,0.126177452870426,25.1199584879788
"Log(b1) = -2.707 + -0.751*log(HOM) + Site",0,629.153885458258,0.105574385858826,0.107582636319176,27.3432582915839
"Log(b1) = -3.386 + Site + Family",0,643.60136083343,0,0.120346459583422,41.7907336667556
"Log(b1) = -3.521 + -0.23*log(WSG) + Site + Family",0,644.650198851104,0.0056147951039411,0.123067966533692,42.8395716844298
"Log(b1) = -3.714 + -0.384*log(WSG) + Site",0,653.275351995427,0.0155280643460589,0.0172594827050292,51.4647248287525
"Log(b1) = -3.501 + Site",NA,655.266259121964,0,0.00369350348262764,53.4556319552893
